Time [JD],Time [UTC],Tag,Mass [kg],posx [JPL],posy [JPL],posz [JPL],velx [JPL],vely [JPL],velz [JPL],SOI [approximation]
2447018.5,1987-08-11,7,1.0199999999999999e+26,554378104.4331672,-4148780461.4576344,-1711927482.1006973,463044.44419942546,59931.919666605296,13005.298918878394,86442140.63875718
2447019.5,1987-08-12,7,1.0199999999999999e+26,554841145.8990707,-4148720507.2845597,-1711914467.6194248,463038.48677728744,59976.42639210843,13023.6636097233,86442140.63875718
2447020.5,1987-08-13,7,1.0199999999999999e+26,555304181.4050612,-4148660508.60503,-1711901434.7735102,463032.5243733285,60020.932577192536,13042.02820309092,86442140.63875718
2447021.5,1987-08-14,7,1.0199999999999999e+26,555767210.9461569,-4148600465.4195857,-1711888383.5630512,463026.556987602,60065.438221397824,13060.392698791518,86442140.63875718
2447022.5,1987-08-15,7,1.0199999999999999e+26,556230234.5173758,-4148540377.728768,-1711875313.9881454,463020.5846201622,60109.94332426449,13078.757096635338,86442140.63875718
2447023.5,1987-08-16,7,1.0199999999999999e+26,556693252.1137366,-4148480245.533118,-1711862226.0488906,463014.60727106314,60154.447885332665,13097.12139643262,86442140.63875718
2447024.5,1987-08-17,7,1.0199999999999999e+26,557156263.7302575,-4148420068.833178,-1711849119.7453852,463008.6249403588,60198.951904142494,13115.48559799358,86442140.63875718
2447025.5,1987-08-18,7,1.0199999999999999e+26,557619269.3619568,-4148359847.6294904,-1711835995.0777273,463002.63762810227,60243.45538023569,13133.849701129131,86442140.63875718
2447026.5,1987-08-19,7,1.0199999999999999e+26,558082269.0038532,-4148299581.9225984,-1711822852.0460157,462996.6453343489,60287.95831315076,13152.213705648835,86442140.63875718
2447027.5,1987-08-20,7,1.0199999999999999e+26,558545262.6509651,-4148239271.713045,-1711809690.650349,462990.6480591528,60332.46070242809,13170.57761136301,86442140.63875718
2447028.5,1987-08-21,7,1.0199999999999999e+26,559008250.298311,-4148178917.0013747,-1711796510.890826,462984.64580256824,60376.962547608004,13188.941418081968,86442140.63875718
2447029.5,1987-08-22,7,1.0199999999999999e+26,559471231.9409097,-4148118517.7881317,-1711783312.767546,462978.6385646492,60421.46384823087,13207.305125616005,86442140.63875718
2447030.5,1987-08-23,7,1.0199999999999999e+26,559934207.57378,-4148058074.07386,-1711770096.280608,462972.6263454504,60465.964603837,13225.66873377541,86442140.63875718
2447031.5,1987-08-24,7,1.0199999999999999e+26,560397177.1919402,-4147997585.8591056,-1711756861.4301114,462966.6091450261,60510.46481396668,13244.032242370464,86442140.63875718
2447032.5,1987-08-25,7,1.0199999999999999e+26,560860140.7904096,-4147937053.1444144,-1711743608.2161565,462960.5869634308,60554.96447816019,13262.395651211435,86442140.63875718
2447033.5,1987-08-26,7,1.0199999999999999e+26,561323098.3642067,-4147876475.9303317,-1711730336.6388423,462954.5598007193,60599.46359595779,13280.75896010858,86442140.63875718
2447034.5,1987-08-27,7,1.0199999999999999e+26,561786049.9083507,-4147815854.2174044,-1711717046.6982696,462948.52765694616,60643.962166899735,13299.122168872154,86442140.63875718
2447035.5,1987-08-28,7,1.0199999999999999e+26,562248995.4178603,-4147755188.0061803,-1711703738.3945382,462942.4905321662,60688.46019052622,13317.485277312391,86442140.63875718
2447036.5,1987-08-29,7,1.0199999999999999e+26,562711934.8877547,-4147694477.297206,-1711690411.7277484,462936.44842643436,60732.95766637748,13335.848285239525,86442140.63875718
2447037.5,1987-08-30,7,1.0199999999999999e+26,563174868.3130529,-4147633722.09103,-1711677066.6980011,462930.4013398055,60777.45459399369,13354.211192463772,86442140.63875718
2447038.5,1987-08-31,7,1.0199999999999999e+26,563637795.688774,-4147572922.388201,-1711663703.3053973,462924.3492723349,60821.950972914994,13372.573998795346,86442140.63875718
