Time [JD],Time [UTC],Tag,Mass [kg],posx [code],posy [code],posz [code],velx [code],vely [code],velz [code],accx [code],accy [code],accz [code]
2446213.5,1985-05-28,10,721.9,-169580863.026783,497564229.6712177,96959893.45616956,-1302754.4954809481,351940.4431896994,293631.51859478885,1107.2241182028115,-3243.865541799629,-630.4335143010585
2446214.5,1985-05-29,10,721.9,-170883063.31614822,497914550.21206653,97253209.90798038,-1301645.4956025416,348702.6660880976,293001.5346596742,1110.757666671352,-3231.6997873687847,-629.5350950112515
2446215.5,1985-05-30,10,721.9,-172184152.84663224,498261639.0479758,97545896.82515971,-1300532.9854436892,345477.0226000307,292372.44942203455,1114.244824905546,-3219.5982752194245,-628.6361318723683
2446216.5,1985-05-31,10,721.9,-173484128.13105595,498605508.2805049,97837955.10666776,-1299417.011113846,342263.44868432754,291744.2633981972,1117.686153005079,-3207.560603110168,-627.7366796810894
2446217.5,1985-06-01,10,721.9,-174782985.7280709,498946169.9473728,98129385.65195383,-1298297.6181659515,339061.8807009195,291116.9770502286,1121.082203914052,-3195.586371092107,-626.836792166943
2446218.5,1985-06-02,10,721.9,-176080722.24160632,499283636.022858,98420189.3609026,-1297174.8516035357,335872.25540854724,290490.59078699246,1124.4335235183041,-3183.6751815079174,-625.9365220111856
2446219.5,1985-06-03,10,721.9,-177377334.3203231,499617918.41819626,98710367.13378148,-1296048.7558877287,332694.5099624686,289865.104965188,1127.7406507414184,-3171.826638990137,-625.035920865318
2446220.5,1985-06-04,10,721.9,-178672818.65707502,499949028.9819758,98999919.87118886,-1294919.3749441742,329528.5819121681,289240.51989037136,1131.0041176395293,-3160.0403504587243,-624.1350393692378
2446221.5,1985-06-05,10,721.9,-179967171.98837656,500276979.5005305,99288848.4740036,-1293786.752169851,326374.4091990698,288616.8358179577,1134.2244494950319,-3148.3159251180477,-623.2339271690331
2446222.5,1985-06-06,10,721.9,-181260391.09387767,500601781.6983307,99577153.84333526,-1292650.9304397989,323231.9301542521,287994.05295420636,1137.4021649092788,-3136.6529744535464,-622.3326329344297
2446223.5,1985-06-07,10,721.9,-182552472.79584515,500923447.23837173,99864836.88047552,-1291511.952113754,320101.0834961676,287372.17145718855,1140.5377758943102,-3125.0511122282323,-621.4312043759013
2446224.5,1985-06-08,10,721.9,-183843413.9586506,501241987.72256005,100151898.48685043,-1290369.8590426939,316981.8083283654,286751.1914377382,1143.6317879636274,-3113.5099544792006,-620.5296882614579
2446225.5,1985-06-09,10,721.9,-185133211.4882649,501557414.6920973,100438339.56397362,-1289224.6925752899,313874.04413721786,286131.1129603858,1146.6847002219897,-3102.029119514335,-619.6281304331327
2446226.5,1985-06-10,10,721.9,-186421862.3317591,501869739.62786204,100724161.01340052,-1288076.4935642742,310777.73078965093,285511.93604427646,1149.697005454151,-3090.608227909248,-618.7265758231812
2446227.5,1985-06-11,10,721.9,-187709363.47681168,502178973.9507889,101009363.73668337,-1286925.3023727152,307692.80853087734,284893.6606640713,1152.6691902124642,-3079.246902504465,-617.8250684700084
2446228.5,1985-06-12,10,721.9,-188995711.9512219,502485129.02224606,101293948.63532719,-1285771.1588802086,304619.21798213356,284276.2867508337,1155.601734903263,-3067.9447684027914,-616.9236515338354
2446229.5,1985-06-13,10,721.9,-190280904.82242945,502788216.14440995,101577916.61074664,-1284614.102488981,301556.9001384192,283659.8141928993,1158.4951138719355,-3056.701452966783,-616.0223673121171
2446230.5,1985-06-14,10,721.9,-191564939.19704005,503088246.560638,101861268.5642237,-1283454.1721299104,298505.79636623943,283044.2428367316,1161.3497954866366,-3045.5165858161563,-615.1212572547141
2446231.5,1985-06-15,10,721.9,-192847812.2203571,503385231.45583886,102144005.39686626,-1282291.406268462,295465.84840135043,282429.5724877617,1164.1662422206002,-3034.389798825009,-614.2203619788207
2446232.5,1985-06-16,10,721.9,-194129521.07591918,503679181.95684075,102426128.00956741,-1281125.8429105442,292436.99834650714,281815.80291121366,1166.9449107330609,-3023.3207261187767,-613.3197212836532
2446233.5,1985-06-17,10,721.9,-195410062.9850435,503970109.13275707,102707637.30296575,-1279957.5196082823,289419.18866921513,281202.9338329154,1169.68625194879,-3012.3090040707693,-612.4193741648926
2446234.5,1985-06-18,10,721.9,-196689435.20637476,504258023.9953503,102988534.17740631,-1278786.4734657141,286412.3621994853,280590.964940095,1172.390711136288,-3001.3542712982726,-611.5193588288879
2446235.5,1985-06-19,10,721.9,-197967635.03544012,504542937.49939317,103268819.5329024,-1277612.741144409,283416.4621275932,279979.8958821631,1175.0587279846775,-2990.4561686581733,-610.6197127066141
2446236.5,1985-06-20,10,721.9,-199244659.8042093,504824860.5430279,103548494.26909815,-1276436.3588690078,280431.4320018423,279369.7262714815,1177.69073667935,-2979.6143392420786,-609.7204724673874
2446237.5,1985-06-21,10,721.9,-200520506.88066047,505103803.968123,103827559.28523181,-1275257.36243269,277457.2157263329,278760.4556841179,1180.287165976417,-2968.828428370983,-608.8216740323402
2446238.5,1985-06-22,10,721.9,-201795173.6683516,505379778.5606283,104106015.48009992,-1274075.7872025666,274493.75755873567,278152.0836605878,1182.8484392760083,-2958.0980835894634,-607.923352587654
2446239.5,1985-06-23,10,721.9,-203068657.60599685,505652795.0509269,104383863.752022,-1272891.6681249985,271541.0021080717,277544.60970658256,1185.3749746944632,-2947.42295465946,-607.0255425975591
2446240.5,1985-06-24,10,721.9,-204340956.1670486,505922864.1141859,104661104.99880618,-1271705.0397308455,268598.89433249866,276938.0332936854,1187.8671851354586,-2936.8026935536823,-606.1282778170977
2446241.5,1985-06-25,10,721.9,-205612066.85928452,506189996.37070405,104937740.11771542,-1270515.936140644,265667.3795371036,276332.353860074,1190.3254783600958,-2926.2369544486637,-605.2315913046606
2446242.5,1985-06-26,10,721.9,-206881987.22439972,506454202.3862577,105213770.00543441,-1269324.391069713,262746.40337170265,275727.57081121113,1192.7502570559782,-2915.7253937174964,-604.3355154342956
2446243.5,1985-06-27,10,721.9,-208150714.8376042,506715492.67244464,105489195.55803727,-1268130.4378331956,259835.91182864844,275123.683520523,1195.1419189053045,-2905.2676699222866,-603.4400819077962
2446244.5,1985-06-28,10,721.9,-209418247.30722502,506973877.68702525,105764017.67095578,-1266934.1093510287,256935.85124064484,274520.6913300655,1197.5008566519975,-2894.8634438063596,-602.5453217665729
2446245.5,1985-06-29,10,721.9,-210684582.2743137,507229367.8342619,106038237.23894836,-1265735.438152849,254046.1682785696,273918.59355117864,1199.8274581678825,-2884.512378286227,-601.6512654033129
2446246.5,1985-06-30,10,721.9,-211949717.41225818,507481973.465256,106311855.15606971,-1264534.4563828318,251166.80994930523,273317.3894651298,1202.1221065179377,-2874.2141384433517,-600.757942573429
2446247.5,1985-07-01,10,721.9,-213213650.42639992,507731704.87828296,106584872.315641,-1263331.1958044656,248297.72359357815,272717.0783237453,1204.3851800246255,-2863.968391515715,-599.8653824063072
2446248.5,1985-07-02,10,721.9,-214476379.05365542,507978572.31912506,106857289.61022076,-1262125.6878052629,245438.85688380626,272117.65935003065,1206.617052331315,-2853.7748068892083,-598.9736134163511
